model,key,image,category,word_P,word_R,word_F1,char_sim,vl_tables,model_tables,table_recall
PP-OCRv6_medium,ocrv6_medium,invoice_06.jpg,invoice,0.6744186046511628,0.90625,0.7733333333333334,0.8007590132827325,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_07.jpg,invoice,0.9607843137254902,0.9607843137254902,0.9607843137254902,0.9153605015673981,3,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_08.jpg,invoice,0.6891891891891891,0.9807692307692307,0.8095238095238095,0.633377135348226,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_09.jpg,invoice,0.7096774193548387,1.0,0.8301886792452831,0.6407766990291263,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_10.jpg,invoice,0.72,0.8372093023255814,0.7741935483870969,0.4288,2,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_11.jpg,invoice,0.8942307692307693,0.9489795918367347,0.9207920792079209,0.19174041297935104,3,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_12.jpg,invoice,0.8472222222222222,0.8356164383561644,0.8413793103448277,0.9459172852598091,2,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_13.jpg,invoice,0.5,1.0,0.6666666666666666,0.6607669616519174,2,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_14.jpg,invoice,0.8666666666666667,0.896551724137931,0.8813559322033899,0.7905759162303665,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_15.jpg,invoice,0.9113924050632911,0.972972972972973,0.9411764705882353,0.2082514734774067,2,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_16.jpg,invoice,0.5245901639344263,0.7619047619047619,0.6213592233009708,0.42074074074074075,2,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_17.jpg,invoice,0.9672131147540983,1.0,0.9833333333333333,0.04519774011299435,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_18.jpg,invoice,0.4528301886792453,0.96,0.6153846153846154,0.6132264529058116,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_19.jpg,invoice,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.791869918699187,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_20.jpg,invoice,0.8363636363636363,1.0,0.9108910891089108,0.7665615141955836,2,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_21.jpg,invoice,0.7846153846153846,0.7727272727272727,0.7786259541984732,0.6854942233632862,2,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_22.jpg,invoice,0.9487179487179487,1.0,0.9736842105263158,0.7005405405405405,2,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_23.jpg,invoice,0.5441176470588235,0.7551020408163265,0.6324786324786325,0.5266106442577031,1,0,0.0
